id,branch_code,customers_id,name,email,phone,address,cities_id,states_id,countries_id,pincode,GSTIN,CIN,PAN,TAN,MSME,IEC,data_fields,crc_search_schema,search_schema_id,bank_data,created_at,created_by,updated_at,updated_by,status,id,customer_code,name,email,phone,address,crc_search_schema,created_at,created_by,updated_at,updated_by,status,sector_id
"1","BLR","17","Bangalore","info@kbl.com","1234567890","#13, Bangalore","1558","17","101","560023","","","",\N,\N,\N,\N,\N,\N,\N,"2022-04-14 17:35:50","1",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"199","ADKMHL","17","Adakamaranahalli","adakamaranahalli@ktkbank.com","8951914369","Adakamaranahalli","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"200","AKSYNR","17","Akshaynagar","blr.akshayanagar@ktkbank.com","9148444020","Akshaynagar","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"201","AMJYNR","17","Amarjyothinagar","blr.amarjyothinagar@ktkbank.com","9449595409","Amarjyothinagar","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"202","ANDAPR","17","Anandapura","blr.anandapura@ktkbank.com","9483421665","Anandapura","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,"6",\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"203","ANDRHL","17","Andrahalli","blr.andrahalli@ktkbank.com","9448594956","Andrahalli","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"204","ASHKNR","17","Ashoknagar","blr.ashoknagar@ktkbank.com","9449595720","Ashoknagar","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"205","BSK3ST","17","Banashankari 3rd stage","blr.bsk3stg@ktkbank.com","9449595417","Banashankari 3rd stage","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"206","BSK2ST","17","Banashankari 2nd stage","blr.bsk2stg@ktkbank.com","9845405824","Banashankari 2nd stage","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
"207","BNSWDI","17","Banaswadi","blr.banaswadi@ktkbank.com","9449595424","Banaswadi","1558","17","101","","","29AABCT5589K1ZL","","AABCT5589K",\N,"UDYAM-KR-03-0106234",\N,\N,\N,\N,"2022-07-13 16:02:54","21",\N,\N,"20","17","KBL","Karnataka Bank","info@kbl.com","1234567890","#13, Bangalore","{\
  ""nameSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""multi_match"": {\
          ""query"": ""SEARCH_NAME"",\
          ""fields"": [\
            ""name""\
          ],\
          ""type"": ""phrase"",\
          ""analyzer"": ""dhi_term_analyzer"",\
          ""boost"": 10\
        }\
      }\
    }\
  ],\
  ""addressSearchQueries"": [\
    {\
      ""queryDHI"": {\
        ""match"": {\
          ""address"": {\
            ""query"": ""SEARCH_ADDRESS"",\
            ""analyzer"": ""dhi_term_analyzer""\
          }\
        }\
      }\
    }\
  ],\
  ""nameAddressQueries"": [\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            }\
          ]\
        }\
      }\
    },\
    {\
      ""queryDHI"": {\
        ""bool"": {\
          ""must"": [\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_NAME"",\
                ""fields"": [\
                  ""name""\
                ],\
                ""type"": ""phrase"",\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 2\
              }\
            },\
            {\
              ""multi_match"": {\
                ""query"": ""SEARCH_ADDRESS"",\
                ""type"": ""most_fields"",\
                ""fields"": [\
                  ""address""\
                ],\
                ""analyzer"": ""dhi_term_analyzer"",\
                ""boost"": 10\
              }\
            }\
          ]\
        }\
      }\
    }\
  ]\
}","2022-04-14 17:34:19","1","2022-06-23 15:23:13","1","18","2"
